Log_Type_ID,Query,SLS,log_content
,查询一下office日志表，这些域名有没有出现过：insidious16.net nefarious17.org ominous18.com,domain:insidious16.net or domain:nefarious17.org or domain:ominous18.com,
,查询源端口为443并且访问过如下目的IP之一的所有NAT日志：119.42.230.126 110.76.22.106 203.209.225.109 203.209.225.107 110.76.7.143 103.52.199.80,source_port:443 and (dest_ip:119.42.230.126 or dest_ip:110.76.22.106 or dest_ip:203.209.225.109 or dest_ip:203.209.225.107 or dest_ip:110.76.7.143 or dest_ip:103.52.199.80),
,筛选包含119.167.229.212的EDR日志，给我进程名和进程出现的次数,"119.167.229.212 | SELECT processPath, COUNT(*) AS count GROUP BY processPath",
,帮我查一下都有谁给aaa或者bbb发过邮件,mail_to:aaa or mail_to:bbb | SELECT mail_from,
,帮我查一下办公网日志中关于103.224.182.206或tetird.com的数据,103.224.182.206 or tetird.com,
,查询同时包含47.235.24.124和mdp_hongkong的office日志,47.235.24.124 and mdp_hongkong,
,查询一下hostname为egumomng-*并且目的端口号为3306的aegis日志,hostname:egumomng-* and dest_prot:3306,
,查一查是否否有使用kill -all或者pkill命令的安骑士记录，针对33.132.33.208的,"33.132.33.208 and (\""kill -all\"" or pkill)",
,请在DNS表中检索，查询域名包含company.com或corp.com，响应时间超过200ms且响应类型为NXDOMAIN的请求,(domain:company.com or domain:corp.com) and req_time > 200 and resp_type:NXDOMAIN,
,"查询满足发件人邮箱为user@example.com, user2@example.com或user3@example.com，且域名是任意一个：google.com, facebook.com, twitter.com的邮件日志",(mail_from:user@example.com or mail_from:user2@example.com or mail_from:user3@example.com) and (domain:google.com or domain:facebook.com or domain:twitter.com),
,查询的EDR日志，返回104.231.65.97相关的命令行,104.231.65.97 | SELECT pcmdline,
,查一下哪些人的电脑执行过386d058311635b5328a6c800b6718ed0程序,386d058311635b5328a6c800b6718ed0 | SELECT staff_id,
,帮我找找最近的POI日志，172.16.0.1访问的ip,source_ip:172.16.0.1 | SELECT dst_ip,
,帮我查下星点和EDR日志4901538dff8f1800aafa5e97c6ea2817这个进程,process:4901538dff8f1800aafa5e97c6ea2817,
,帮我查下日志，近3天哪些IP调用过LTAITIXZIZxxxxxxxx这个AK,LTAITIXZIZxxxxxxxx | SELECT ip,
,请帮我检索系统日志，包含IP地址192.168.0.1，用户ID为1002，操作类型为update，状态码为200，且不包含error的数据,ip:192.168.0.1 and staff_id:1002 and type:update and status:200 and not error,
,查询星点数据，这些进程有没有出现过：C:\\Windows\\System32\\rogue.exe C:\\Program Files\\Trojan\\stealth.exe C:\\Users\\Unknown\\AppData\\Local\\Temp\\covert.exe,process:C:\\Windows\\System32\\rogue.exe or process:C:\\Program Files\\Trojan\\stealth.exe or process:C:\\Users\\Unknown\\AppData\\Local\\Temp\\covert.exe,
,帮我查询sub.anotherdomain.com这个域名,domain:sub.anotherdomain.com,
,查下这个文件C:\\Program Files\\FakeSecurityTest\\test.exe,C:\\Program Files\\FakeSecurityTest\\test.exe,
,请帮我在NAT日志表中，找出所有目标端口为1234的流量记录，并统计每个源IP的流量总数,"dest_port:1234 | SELECT src_ip, COUNT(*) AS count GROUP BY src_ip",
,使用count函数统计网站访问PV。,* | SELECT count(*) AS PV,"__tag__:__client_ip__:192.0.2.0
__tag__:__receive_time__:1609985755
__source__:198.51.100.0
__topic__:website_access_log
body_bytes_sent:4512
client_ip:198.51.100.10
host:example.com
http_host:example.com
http_user_agent:Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_8; ja-jp) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27
http_x_forwarded_for:198.51.100.1
instance_id:i-02
instance_name:instance-01
network_type:vlan
owner_id:%abc%-01
referer:example.com
region:cn-shanghai
remote_addr:203.0.113.0
remote_user:neb
request_length:4103
request_method:POST
request_time:69
request_uri:/request/path-1/file-0
scheme:https
server_protocol:HTTP/2.0
slbid:slb-02
status:200
time_local:07/Jan/2021:02:15:53
upstream_addr:203.0.113.10
upstream_response_time:43
upstream_status:200
user_agent:Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.33 (KHTML, like Gecko) Ubuntu/9.10 Chromium/13.0.752.0 Chrome/13.0.752.0 Safari/534.33
vip_addr:192.0.2.2
vpc_id:3db327b1****82df19818a72"
,根据每分钟的时间粒度，统计网站访问PV。使用date_trunc函数将时间对齐到每分钟并根据时间进行分组，然后使用count函数计算每分钟的访问PV并根据时间排序。,"* | SELECT count(*) as PV, date_trunc('minute', __time__) as time GROUP BY time ORDER BY time","__tag__:__client_ip__:192.0.2.0
__tag__:__receive_time__:1609985755
__source__:198.51.100.0
__topic__:website_access_log
body_bytes_sent:4512
client_ip:198.51.100.10
host:example.com
http_host:example.com
http_user_agent:Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_8; ja-jp) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27
http_x_forwarded_for:198.51.100.1
instance_id:i-02
instance_name:instance-01
network_type:vlan
owner_id:%abc%-01
referer:example.com
region:cn-shanghai
remote_addr:203.0.113.0
remote_user:neb
request_length:4103
request_method:POST
request_time:69
request_uri:/request/path-1/file-0
scheme:https
server_protocol:HTTP/2.0
slbid:slb-02
status:200
time_local:07/Jan/2021:02:15:53
upstream_addr:203.0.113.10
upstream_response_time:43
upstream_status:200
user_agent:Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.33 (KHTML, like Gecko) Ubuntu/9.10 Chromium/13.0.752.0 Chrome/13.0.752.0 Safari/534.33
vip_addr:192.0.2.2
vpc_id:3db327b1****82df19818a73"
